Adm2TYPE,Raion_Name_Eng,Oblast_Name,KOATUU,IDP_3/1/2018,IDP_4/2/2018,IDP_5/3/2018,IDP_6/7/2018,IDP_7/5/2018,IDP_8/2/2018,IDP_9/6/2018,IDP_10/4/2018,IDP_11/1/2018,IDP_12/6/2018,sum
City Council,Avdiivska,Donetska,1410200000,3722,3766,3979,4083,4164,4216,4306,4335,4352,4392,4132
City Council,Bakhmutska,Donetska,1410300000,41819,41874,41795,41960,42065,42087,42190,42359,42192,41531,41987
Raion,Bakhmutskyi,Donetska,1420900000,6613,6883,7070,7190,7209,7291,7341,7347,7409,7338,7169
Raion,Velykonovosilkivskyi,Donetska,1421200000,13343,13434,13741,14004,14193,14305,14155,13812,13853,13501,13834
Raion,Volnovaskyi,Donetska,1421500000,51647,51389,51702,52058,51771,51934,50950,50174,50452,50812,51289
Raion,Nikolskyi,Donetska,1421700000,14191,14252,14393,14376,14381,14294,14223,14208,14099,13914,14233
City Council,Vuhledarska,Donetska,1414800000,8873,8913,9010,9096,9151,9214,9157,9152,9227,9247,9104
City Council,Toretska,Donetska,1411200000,7213,7272,7356,7432,7492,7532,7593,7615,7652,7714,7487
City Council,Dymytrivska,Donetska,1411300000,17140,17217,17491,17473,17379,17304,17329,17283,17316,17290,17322
City Council,Dobropilska,Donetska,1411500000,8915,8953,8985,9045,9093,9126,9033,9066,9087,9087,9039
Raion,Dobropilskyi,Donetska,1422000000,511,482,480,474,473,472,466,471,480,481,479
City Council,Druzhkivska,Donetska,1411700000,10980,11143,11269,11372,11298,11416,11474,11411,11483,11313,11316
City Council,Kostiantynivska,Donetska,1412600000,24759,24766,24998,25058,25025,25013,24927,24963,25106,25103,24972
Raion,Kostiantynivskyi,Donetska,1422400000,3449,3356,3468,3454,3497,3509,3446,3440,3435,3317,3437
City Council,Kramatorska,Donetska,1412900000,49966,49577,48989,48921,48993,48662,48137,48176,47993,48228,48764
City Council,Pokrovska,Donetska,1413200000,15297,15354,15533,15632,15674,15711,15629,15592,15716,15788,15593
Raion,Pokrovskyii,Donetska,1422700000,4920,4964,5075,5106,5040,5077,5047,4962,4996,4971,5016
City Council,Lymanska,Donetska,1413300000,24149,24194,24179,24307,24438,24258,24459,24487,24408,24533,24341
Raion,Marinskyi,Donetska,1423300000,18884,19053,19261,19408,19757,19752,19574,19562,19781,19838,19487
City Council,Novohrodivska,Donetska,1413600000,8456,8531,8721,8865,8932,8978,8939,9038,9086,9155,8870
Raion,Oleksandrivskyi,Donetska,1420300000,3118,3147,3162,3171,3183,3190,3197,3208,3222,3190,3179
Raion,Manhushskyi,Donetska,1423900000,13903,13855,13985,14054,14089,14091,14105,14095,14093,14176,14045
City Council,Selydivska,Donetska,1413800000,14831,15033,15379,15630,15667,15752,15459,15554,15532,15603,15444
City Council,Slovianska,Donetska,1414100000,43117,43678,44471,45026,45448,45774,46116,46451,46681,37404,44417
Raion,Slovianskyi,Donetska,1424200000,27613,27414,27731,27510,26561,26073,25909,25869,25360,25357,26540
Raion,Yasynuvatskyi,Donetska,1425500000,7370,7423,7502,7549,7592,7603,7633,7619,7637,7672,7560
City Council,Mariupolska,Donetska,1412300000,96601,97208,98419,99204,99551,100061,100314,100626,99899,100184,99207
